Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,1,Fri Jul 27 2018,20:30,Standard Liège,3-2,1-1,KAA Gent,
Regular Season,1,Sat Jul 28 2018,18:00,KV Kortrijk,1-4,0-2,RSC Anderlecht,
Regular Season,1,Sat Jul 28 2018,20:00,SV Zulte Waregem,2-2,1-0,Waasland-Beveren,
Regular Season,1,Sat Jul 28 2018,20:30,KV Oostende,2-1,0-1,Royal Excel Mouscron,
Regular Season,1,Sat Jul 28 2018,20:00,Sint-Truidense VV,0-0,0-0,Cercle Brugge,
Regular Season,1,Sun Jul 29 2018,14:30,Club Brugge KV,5-2,3-0,AS Eupen,
Regular Season,1,Sun Jul 29 2018,20:00,Sporting Lokeren,0-4,0-2,KRC Genk,
Regular Season,1,Sun Jul 29 2018,18:00,Sporting Charleroi,0-1,0-1,Royal Antwerp FC,
Regular Season,2,Fri Aug 3 2018,20:30,Waasland-Beveren,0-0,0-0,Standard Liège,
Regular Season,2,Sat Aug 4 2018,20:00,Cercle Brugge,3-2,2-1,Sporting Lokeren,
Regular Season,2,Sat Aug 4 2018,18:00,AS Eupen,1-4,1-2,Sporting Charleroi,
Regular Season,2,Sat Aug 4 2018,20:30,KAA Gent,1-1,0-0,SV Zulte Waregem,
Regular Season,2,Sat Aug 4 2018,20:00,Royal Antwerp FC,0-0,0-0,KV Kortrijk,
Regular Season,2,Sun Aug 5 2018,14:30,RSC Anderlecht,5-2,0-0,KV Oostende,
Regular Season,2,Sun Aug 5 2018,18:00,KRC Genk,1-1,0-0,Sint-Truidense VV,
Regular Season,2,Sun Aug 5 2018,20:00,Royal Excel Mouscron,0-1,0-0,Club Brugge KV,
Regular Season,3,Fri Aug 10 2018,20:30,Club Brugge KV,3-0,2-0,KV Kortrijk,
Regular Season,3,Sat Aug 11 2018,18:00,Standard Liège,0-0,0-0,Cercle Brugge,
Regular Season,3,Sat Aug 11 2018,20:30,Royal Excel Mouscron,0-1,0-0,Royal Antwerp FC,
Regular Season,3,Sat Aug 11 2018,20:00,Sint-Truidense VV,1-1,0-0,Sporting Lokeren,
Regular Season,3,Sat Aug 11 2018,20:00,SV Zulte Waregem,4-0,2-0,AS Eupen,
Regular Season,3,Sun Aug 12 2018,14:30,KV Oostende,0-2,0-0,KRC Genk,
Regular Season,3,Sun Aug 12 2018,20:00,KAA Gent,4-1,1-0,Waasland-Beveren,
Regular Season,3,Sun Aug 12 2018,18:00,Sporting Charleroi,1-2,1-1,RSC Anderlecht,
Regular Season,4,Fri Aug 17 2018,20:30,RSC Anderlecht,2-0,1-0,Royal Excel Mouscron,
Regular Season,4,Sat Aug 18 2018,18:00,Sporting Lokeren,0-3,0-0,Standard Liège,
Regular Season,4,Sat Aug 18 2018,20:00,Cercle Brugge,3-1,1-0,SV Zulte Waregem,
Regular Season,4,Sat Aug 18 2018,20:30,KV Kortrijk,1-2,0-1,KV Oostende,
Regular Season,4,Sat Aug 18 2018,20:00,Waasland-Beveren,2-2,1-1,Sint-Truidense VV,
Regular Season,4,Sun Aug 19 2018,14:30,Royal Antwerp FC,1-1,0-0,Club Brugge KV,
Regular Season,4,Sun Aug 19 2018,20:00,AS Eupen,2-3,1-2,KAA Gent,
Regular Season,4,Sun Aug 19 2018,18:00,KRC Genk,3-1,1-1,Sporting Charleroi,
Regular Season,5,Fri Aug 24 2018,20:30,KV Oostende,3-1,1-1,SV Zulte Waregem,
Regular Season,5,Sat Aug 25 2018,20:30,Sporting Charleroi,0-2,0-1,KV Kortrijk,
Regular Season,5,Sat Aug 25 2018,18:00,Standard Liège,3-2,1-1,Sint-Truidense VV,
Regular Season,5,Sat Aug 25 2018,20:00,Royal Antwerp FC,1-0,0-0,Cercle Brugge,
Regular Season,5,Sat Aug 25 2018,20:00,Royal Excel Mouscron,0-1,0-1,AS Eupen,
Regular Season,5,Sun Aug 26 2018,14:30,Club Brugge KV,2-1,2-1,RSC Anderlecht,
Regular Season,5,Sun Aug 26 2018,18:00,KAA Gent,2-1,0-0,Sporting Lokeren,
Regular Season,5,Sun Aug 26 2018,20:00,KRC Genk,3-2,1-0,Waasland-Beveren,
Regular Season,6,Fri Aug 31 2018,20:30,SV Zulte Waregem,2-5,0-3,Club Brugge KV,
Regular Season,6,Sat Sep 1 2018,18:00,AS Eupen,2-1,0-1,Standard Liège,
Regular Season,6,Sat Sep 1 2018,20:30,Sporting Charleroi,3-1,2-0,Royal Excel Mouscron,
Regular Season,6,Sat Sep 1 2018,20:00,Sint-Truidense VV,1-0,0-0,KV Oostende,
Regular Season,6,Sat Sep 1 2018,20:00,Sporting Lokeren,1-0,0-0,Waasland-Beveren,
Regular Season,6,Sun Sep 2 2018,14:30,RSC Anderlecht,1-1,1-0,Royal Antwerp FC,
Regular Season,6,Sun Sep 2 2018,18:00,Cercle Brugge,0-3,0-1,KAA Gent,
Regular Season,6,Sun Sep 2 2018,20:00,KV Kortrijk,3-3,0-0,KRC Genk,
Regular Season,7,Fri Sep 14 2018,20:30,Club Brugge KV,2-1,0-1,Sporting Lokeren,
Regular Season,7,Sat Sep 15 2018,18:00,Standard Liège,0-0,0-0,Sporting Charleroi,
Regular Season,7,Sat Sep 15 2018,20:30,KRC Genk,1-0,0-0,RSC Anderlecht,
Regular Season,7,Sat Sep 15 2018,20:00,Waasland-Beveren,0-0,0-0,AS Eupen,
Regular Season,7,Sat Sep 15 2018,20:00,KV Oostende,1-1,0-0,Cercle Brugge,
Regular Season,7,Sun Sep 16 2018,14:30,Royal Excel Mouscron,1-0,1-0,KV Kortrijk,
Regular Season,7,Sun Sep 16 2018,20:00,KAA Gent,1-2,0-1,Sint-Truidense VV,
Regular Season,7,Sun Sep 16 2018,18:00,Royal Antwerp FC,5-1,3-0,SV Zulte Waregem,
Regular Season,8,Fri Sep 21 2018,20:30,SV Zulte Waregem,0-2,0-0,KV Kortrijk,
Regular Season,8,Sat Sep 22 2018,18:00,Waasland-Beveren,1-1,0-1,Sporting Charleroi,
Regular Season,8,Sat Sep 22 2018,20:00,AS Eupen,1-2,0-1,KV Oostende,
Regular Season,8,Sat Sep 22 2018,20:00,Sporting Lokeren,0-0,0-0,Royal Excel Mouscron,
Regular Season,8,Sat Sep 22 2018,20:30,Sint-Truidense VV,2-0,0-0,Royal Antwerp FC,
Regular Season,8,Sun Sep 23 2018,14:30,KAA Gent,0-4,0-1,Club Brugge KV,
Regular Season,8,Sun Sep 23 2018,18:00,RSC Anderlecht,2-1,0-1,Standard Liège,
Regular Season,8,Sun Sep 23 2018,20:00,Cercle Brugge,2-5,1-2,KRC Genk,
Regular Season,9,Fri Sep 28 2018,20:30,KV Kortrijk,1-3,1-2,AS Eupen,
Regular Season,9,Sat Sep 29 2018,18:00,KRC Genk,4-0,2-0,SV Zulte Waregem,
Regular Season,9,Sat Sep 29 2018,20:00,Royal Excel Mouscron,0-3,0-2,Waasland-Beveren,
Regular Season,9,Sat Sep 29 2018,20:00,Sporting Charleroi,2-1,0-0,Sporting Lokeren,
Regular Season,9,Sat Sep 29 2018,20:30,Club Brugge KV,4-0,2-0,Cercle Brugge,
Regular Season,9,Sun Sep 30 2018,14:30,RSC Anderlecht,0-0,0-0,Sint-Truidense VV,
Regular Season,9,Sun Sep 30 2018,20:00,Royal Antwerp FC,2-2,1-2,KAA Gent,
Regular Season,9,Sun Sep 30 2018,18:00,KV Oostende,1-3,0-1,Standard Liège,
Regular Season,10,Fri Oct 5 2018,20:30,Cercle Brugge,2-1,1-1,Sporting Charleroi,
Regular Season,10,Sat Oct 6 2018,20:30,Waasland-Beveren,1-1,0-0,KV Oostende,
Regular Season,10,Sat Oct 6 2018,18:00,AS Eupen,1-2,1-0,Royal Antwerp FC,
Regular Season,10,Sat Oct 6 2018,20:00,Sint-Truidense VV,3-1,1-1,Royal Excel Mouscron,
Regular Season,10,Sat Oct 6 2018,20:00,Sporting Lokeren,1-3,1-0,KV Kortrijk,
Regular Season,10,Sun Oct 7 2018,14:30,SV Zulte Waregem,1-2,0-1,RSC Anderlecht,
Regular Season,10,Sun Oct 7 2018,18:00,Standard Liège,3-1,1-0,Club Brugge KV,
Regular Season,10,Sun Oct 7 2018,20:00,KAA Gent,1-5,1-3,KRC Genk,
Regular Season,11,Fri Oct 19 2018,20:30,Club Brugge KV,1-1,0-0,Waasland-Beveren,
Regular Season,11,Sat Oct 20 2018,18:00,Royal Excel Mouscron,0-0,0-0,Standard Liège,
Regular Season,11,Sat Oct 20 2018,20:00,KV Kortrijk,3-1,2-1,Sint-Truidense VV,
Regular Season,11,Sat Oct 20 2018,20:30,KRC Genk,2-1,1-0,AS Eupen,
Regular Season,11,Sat Oct 20 2018,20:00,Royal Antwerp FC,2-1,1-0,Sporting Lokeren,
Regular Season,11,Sun Oct 21 2018,14:30,RSC Anderlecht,4-2,2-0,Cercle Brugge,
Regular Season,11,Sun Oct 21 2018,18:00,KV Oostende,0-4,0-2,KAA Gent,
Regular Season,11,Sun Oct 21 2018,20:00,Sporting Charleroi,3-2,1-0,SV Zulte Waregem,
Regular Season,12,Fri Oct 26 2018,20:30,KAA Gent,2-1,1-1,Sporting Charleroi,
Regular Season,12,Sat Oct 27 2018,18:00,SV Zulte Waregem,2-2,2-1,Royal Excel Mouscron,
Regular Season,12,Sat Oct 27 2018,20:00,Cercle Brugge,1-1,0-1,KV Kortrijk,
Regular Season,12,Sat Oct 27 2018,20:30,Sint-Truidense VV,2-2,1-2,Club Brugge KV,
Regular Season,12,Sat Oct 27 2018,20:00,Sporting Lokeren,0-0,0-0,KV Oostende,
Regular Season,12,Sun Oct 28 2018,14:30,Standard Liège,1-1,0-0,KRC Genk,
Regular Season,12,Sun Oct 28 2018,18:00,AS Eupen,2-1,2-0,RSC Anderlecht,
Regular Season,12,Sun Oct 28 2018,20:00,Waasland-Beveren,0-1,0-0,Royal Antwerp FC,
Regular Season,13,Tue Oct 30 2018,20:30,Sporting Charleroi,1-0,0-0,Sint-Truidense VV,
Regular Season,13,Tue Oct 30 2018,20:30,Royal Excel Mouscron,3-1,2-0,KAA Gent,
Regular Season,13,Tue Oct 30 2018,20:30,Club Brugge KV,4-0,3-0,KV Oostende,
Regular Season,13,Wed Oct 31 2018,20:30,KV Kortrijk,2-2,2-0,Waasland-Beveren,
Regular Season,13,Wed Oct 31 2018,20:30,AS Eupen,2-0,0-0,Cercle Brugge,
Regular Season,13,Wed Oct 31 2018,20:30,Royal Antwerp FC,2-4,2-0,KRC Genk,
Regular Season,13,Thu Nov 1 2018,14:30,RSC Anderlecht,1-1,0-0,Sporting Lokeren,
Regular Season,13,Thu Nov 1 2018,18:00,SV Zulte Waregem,3-1,1-1,Standard Liège,
Regular Season,14,Fri Nov 2 2018,20:30,KV Oostende,2-1,1-0,Sporting Charleroi,
Regular Season,14,Sat Nov 3 2018,18:00,KRC Genk,1-1,1-0,Club Brugge KV,
Regular Season,14,Sat Nov 3 2018,20:30,KAA Gent,3-1,0-1,KV Kortrijk,
Regular Season,14,Sat Nov 3 2018,20:00,Cercle Brugge,2-1,0-1,Royal Excel Mouscron,
Regular Season,14,Sun Nov 4 2018,14:30,Standard Liège,0-2,0-1,Royal Antwerp FC,
Regular Season,14,Sun Nov 4 2018,18:00,Waasland-Beveren,1-2,0-1,RSC Anderlecht,
Regular Season,14,Sun Nov 4 2018,20:00,Sporting Lokeren,2-0,2-0,AS Eupen,
Regular Season,14,Sun Nov 4 2018,20:00,Sint-Truidense VV,2-1,0-1,SV Zulte Waregem,
Regular Season,15,Fri Nov 9 2018,20:30,Royal Antwerp FC,2-0,1-0,KV Oostende,
Regular Season,15,Sat Nov 10 2018,20:30,Cercle Brugge,2-0,1-0,Waasland-Beveren,
Regular Season,15,Sat Nov 10 2018,20:00,AS Eupen,1-4,0-2,Sint-Truidense VV,
Regular Season,15,Sat Nov 10 2018,20:00,SV Zulte Waregem,2-0,0-0,Sporting Lokeren,
Regular Season,15,Sat Nov 10 2018,18:00,Sporting Charleroi,2-1,1-1,Club Brugge KV,
Regular Season,15,Sun Nov 11 2018,20:00,Royal Excel Mouscron,0-0,0-0,KRC Genk,
Regular Season,15,Sun Nov 11 2018,18:00,KV Kortrijk,0-2,0-1,Standard Liège,
Regular Season,15,Sun Nov 11 2018,14:30,RSC Anderlecht,2-0,1-0,KAA Gent,
Regular Season,16,Fri Nov 23 2018,20:30,Club Brugge KV,1-3,0-2,SV Zulte Waregem,
Regular Season,16,Sat Nov 24 2018,18:00,Standard Liège,3-0,2-0,AS Eupen,
Regular Season,16,Sat Nov 24 2018,20:00,KV Oostende,1-2,1-1,KV Kortrijk,
Regular Season,16,Sat Nov 24 2018,20:30,KRC Genk,1-2,0-2,Cercle Brugge,
Regular Season,16,Sat Nov 24 2018,20:00,Waasland-Beveren,1-2,0-1,Royal Excel Mouscron,
Regular Season,16,Sun Nov 25 2018,14:30,KAA Gent,0-0,0-0,Royal Antwerp FC,
Regular Season,16,Sun Nov 25 2018,20:00,Sporting Lokeren,2-4,1-1,Sporting Charleroi,
Regular Season,16,Sun Nov 25 2018,18:00,Sint-Truidense VV,4-2,1-1,RSC Anderlecht,
Regular Season,17,Fri Nov 30 2018,20:30,Sporting Lokeren,2-2,1-0,KAA Gent,
Regular Season,17,Sat Dec 1 2018,18:00,Sporting Charleroi,3-1,1-0,Cercle Brugge,
Regular Season,17,Sat Dec 1 2018,20:00,KV Kortrijk,1-0,1-0,Royal Excel Mouscron,
Regular Season,17,Sat Dec 1 2018,20:30,Royal Antwerp FC,1-3,1-2,Sint-Truidense VV,
Regular Season,17,Sat Dec 1 2018,20:00,SV Zulte Waregem,1-1,1-0,KV Oostende,
Regular Season,17,Sun Dec 2 2018,14:30,Club Brugge KV,3-0,3-0,Standard Liège,
Regular Season,17,Sun Dec 2 2018,20:00,AS Eupen,1-0,1-0,Waasland-Beveren,
Regular Season,17,Sun Dec 2 2018,18:00,RSC Anderlecht,0-1,0-0,KRC Genk,
Regular Season,18,Fri Dec 7 2018,20:30,Waasland-Beveren,2-1,0-0,Club Brugge KV,
Regular Season,18,Sat Dec 8 2018,20:30,Sint-Truidense VV,1-1,1-0,Standard Liège,
Regular Season,18,Sat Dec 8 2018,18:00,KRC Genk,1-1,1-1,KV Kortrijk,
Regular Season,18,Sat Dec 8 2018,20:00,KV Oostende,1-0,0-0,Sporting Lokeren,
Regular Season,18,Sat Dec 8 2018,20:00,Royal Excel Mouscron,0-0,0-0,SV Zulte Waregem,
Regular Season,18,Sun Dec 9 2018,14:30,Cercle Brugge,0-3,0-2,Royal Antwerp FC,
Regular Season,18,Sun Dec 9 2018,18:00,RSC Anderlecht,1-1,0-0,Sporting Charleroi,
Regular Season,18,Sun Dec 9 2018,20:00,KAA Gent,2-0,1-0,AS Eupen,
Regular Season,19,Fri Dec 14 2018,20:30,Sporting Charleroi,2-0,0-0,KAA Gent,
Regular Season,19,Sat Dec 15 2018,18:00,KV Kortrijk,0-0,0-0,Club Brugge KV,
Regular Season,19,Sat Dec 15 2018,20:00,AS Eupen,1-0,0-0,Royal Excel Mouscron,
Regular Season,19,Sat Dec 15 2018,20:30,Royal Antwerp FC,0-2,0-0,Waasland-Beveren,
Regular Season,19,Sat Dec 15 2018,20:00,Sporting Lokeren,2-0,1-0,Sint-Truidense VV,
Regular Season,19,Sun Dec 16 2018,14:30,Cercle Brugge,2-1,1-1,RSC Anderlecht,
Regular Season,19,Sun Dec 16 2018,18:00,KRC Genk,2-0,1-0,KV Oostende,
Regular Season,19,Sun Dec 16 2018,20:00,Standard Liège,4-1,2-0,SV Zulte Waregem,
Regular Season,20,Fri Dec 21 2018,20:30,KAA Gent,4-1,2-0,Cercle Brugge,
Regular Season,20,Sat Dec 22 2018,18:00,Royal Excel Mouscron,3-1,2-0,RSC Anderlecht,
Regular Season,20,Sat Dec 22 2018,20:30,Standard Liège,3-1,3-0,KV Oostende,
Regular Season,20,Sat Dec 22 2018,20:00,Sint-Truidense VV,0-0,0-0,KV Kortrijk,
Regular Season,20,Sat Dec 22 2018,20:00,Waasland-Beveren,2-1,1-0,Sporting Lokeren,
Regular Season,20,Sun Dec 23 2018,14:30,Club Brugge KV,5-1,2-0,Royal Antwerp FC,
Regular Season,20,Sun Dec 23 2018,20:00,SV Zulte Waregem,3-1,2-1,Sporting Charleroi,
Regular Season,20,Sun Dec 23 2018,18:00,AS Eupen,0-2,0-2,KRC Genk,
Regular Season,21,Wed Dec 26 2018,14:30,KV Kortrijk,4-2,0-1,SV Zulte Waregem,
Regular Season,21,Wed Dec 26 2018,14:30,KV Oostende,1-1,1-1,Sint-Truidense VV,
Regular Season,21,Wed Dec 26 2018,14:30,Cercle Brugge,0-1,0-1,AS Eupen,
Regular Season,21,Wed Dec 26 2018,20:30,KRC Genk,3-1,1-1,KAA Gent,
Regular Season,21,Wed Dec 26 2018,18:00,Sporting Charleroi,0-1,0-1,Standard Liège,
Regular Season,21,Wed Dec 26 2018,14:30,Royal Antwerp FC,2-1,1-0,Royal Excel Mouscron,
Regular Season,21,Thu Dec 27 2018,20:30,RSC Anderlecht,3-0,1-0,Waasland-Beveren,
Regular Season,21,Thu Dec 27 2018,18:00,Sporting Lokeren,0-1,0-0,Club Brugge KV,
Regular Season,22,Fri Jan 18 2019,20:30,Sint-Truidense VV,2-3,1-1,KRC Genk,
Regular Season,22,Sat Jan 19 2019,18:00,Standard Liège,2-1,0-1,KV Kortrijk,
Regular Season,22,Sat Jan 19 2019,20:00,AS Eupen,4-1,2-0,Sporting Lokeren,
Regular Season,22,Sat Jan 19 2019,20:30,SV Zulte Waregem,1-2,0-1,Royal Antwerp FC,
