Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,22,Sat Jan 19 2019,20:00,Waasland-Beveren,1-1,0-0,Cercle Brugge,
Regular Season,22,Sun Jan 20 2019,14:30,Club Brugge KV,0-1,0-1,Sporting Charleroi,
Regular Season,22,Sun Jan 20 2019,18:00,KAA Gent,1-0,0-0,RSC Anderlecht,
Regular Season,22,Sun Jan 20 2019,20:00,Royal Excel Mouscron,2-1,1-1,KV Oostende,
Regular Season,23,Fri Jan 25 2019,20:30,Royal Antwerp FC,1-1,0-0,Standard Liège,
Regular Season,23,Sat Jan 26 2019,18:00,Sporting Charleroi,2-2,1-2,Waasland-Beveren,
Regular Season,23,Sat Jan 26 2019,20:00,Cercle Brugge,1-2,1-1,Sint-Truidense VV,
Regular Season,23,Sat Jan 26 2019,20:30,KRC Genk,1-2,0-1,Royal Excel Mouscron,
Regular Season,23,Sat Jan 26 2019,20:00,Sporting Lokeren,0-3,0-2,SV Zulte Waregem,
Regular Season,23,Sun Jan 27 2019,14:30,KV Oostende,1-2,1-0,Club Brugge KV,
Regular Season,23,Sun Jan 27 2019,20:00,KV Kortrijk,1-2,1-1,KAA Gent,
Regular Season,23,Sun Jan 27 2019,18:00,RSC Anderlecht,2-1,0-1,AS Eupen,
Regular Season,24,Fri Feb 1 2019,20:30,Royal Excel Mouscron,3-0,1-0,Sporting Charleroi,
Regular Season,24,Sat Feb 2 2019,18:00,KV Oostende,0-2,0-1,Royal Antwerp FC,
Regular Season,24,Sat Feb 2 2019,20:00,KV Kortrijk,2-1,1-0,Sporting Lokeren,
Regular Season,24,Sat Feb 2 2019,20:30,Waasland-Beveren,1-2,1-0,KRC Genk,
Regular Season,24,Sat Feb 2 2019,20:00,SV Zulte Waregem,3-2,2-1,Cercle Brugge,
Regular Season,24,Sun Feb 3 2019,14:30,Club Brugge KV,1-1,0-1,KAA Gent,
Regular Season,24,Sun Feb 3 2019,20:00,Sint-Truidense VV,4-1,2-1,AS Eupen,
Regular Season,24,Sun Feb 3 2019,18:00,Standard Liège,2-1,1-1,RSC Anderlecht,
Regular Season,25,Fri Feb 8 2019,20:30,KRC Genk,2-0,0-0,Standard Liège,
Regular Season,25,Sat Feb 9 2019,20:30,Sporting Lokeren,2-1,1-0,Royal Antwerp FC,
Regular Season,25,Sat Feb 9 2019,18:00,Sporting Charleroi,1-1,0-0,KV Oostende,
Regular Season,25,Sat Feb 9 2019,20:00,Sint-Truidense VV,2-1,1-1,Waasland-Beveren,
Regular Season,25,Sat Feb 9 2019,20:00,AS Eupen,0-1,0-1,KV Kortrijk,
Regular Season,25,Sun Feb 10 2019,14:30,Cercle Brugge,2-2,1-2,Club Brugge KV,
Regular Season,25,Sun Feb 10 2019,18:00,RSC Anderlecht,0-0,0-0,SV Zulte Waregem,
Regular Season,25,Sun Feb 10 2019,20:00,KAA Gent,1-2,0-1,Royal Excel Mouscron,
Regular Season,26,Fri Feb 15 2019,20:30,Standard Liège,3-1,2-0,Sporting Lokeren,
Regular Season,26,Sat Feb 16 2019,18:00,KV Kortrijk,1-2,0-0,Sporting Charleroi,
Regular Season,26,Sat Feb 16 2019,20:30,Waasland-Beveren,2-1,1-0,KAA Gent,
Regular Season,26,Sat Feb 16 2019,20:00,SV Zulte Waregem,1-1,0-0,Sint-Truidense VV,
Regular Season,26,Sat Feb 16 2019,20:00,KV Oostende,1-1,1-0,AS Eupen,
Regular Season,26,Sun Feb 17 2019,14:30,Club Brugge KV,3-1,2-0,KRC Genk,
Regular Season,26,Sun Feb 17 2019,18:00,Royal Antwerp FC,0-1,0-0,RSC Anderlecht,
Regular Season,26,Sun Feb 17 2019,20:00,Royal Excel Mouscron,3-0,0-0,Cercle Brugge,
Regular Season,27,Fri Feb 22 2019,20:30,KAA Gent,2-1,2-0,Standard Liège,
Regular Season,27,Sat Feb 23 2019,18:00,AS Eupen,2-3,1-1,SV Zulte Waregem,
Regular Season,27,Sat Feb 23 2019,20:00,Cercle Brugge,2-2,0-0,KV Oostende,
Regular Season,27,Sat Feb 23 2019,20:00,Waasland-Beveren,2-6,0-2,KV Kortrijk,
Regular Season,27,Sat Feb 23 2019,20:30,Royal Excel Mouscron,1-0,0-0,Sporting Lokeren,
Regular Season,27,Sun Feb 24 2019,14:30,RSC Anderlecht,2-2,1-1,Club Brugge KV,
Regular Season,27,Sun Feb 24 2019,20:00,Sint-Truidense VV,3-1,2-1,Sporting Charleroi,
Regular Season,27,Sun Feb 24 2019,18:00,KRC Genk,0-0,0-0,Royal Antwerp FC,
Regular Season,28,Fri Mar 1 2019,20:30,Standard Liège,1-1,0-0,Royal Excel Mouscron,
Regular Season,28,Sat Mar 2 2019,20:00,KV Kortrijk,2-1,0-1,Cercle Brugge,
Regular Season,28,Sat Mar 2 2019,18:00,Sporting Charleroi,1-1,0-1,KRC Genk,
Regular Season,28,Sat Mar 2 2019,20:00,KV Oostende,1-1,0-0,Waasland-Beveren,
Regular Season,28,Sat Mar 2 2019,20:30,Club Brugge KV,1-0,0-0,Sint-Truidense VV,
Regular Season,28,Sun Mar 3 2019,14:30,SV Zulte Waregem,1-3,1-1,KAA Gent,
Regular Season,28,Sun Mar 3 2019,18:00,Sporting Lokeren,1-2,0-1,RSC Anderlecht,
Regular Season,28,Sun Mar 3 2019,20:00,Royal Antwerp FC,2-1,0-0,AS Eupen,
Regular Season,29,Sun Mar 10 2019,18:00,KRC Genk,1-0,0-0,Sporting Lokeren,
Regular Season,29,Sun Mar 10 2019,18:00,KAA Gent,2-1,1-1,KV Oostende,
Regular Season,29,Sun Mar 10 2019,18:00,RSC Anderlecht,2-0,1-0,KV Kortrijk,
Regular Season,29,Sun Mar 10 2019,18:00,Royal Excel Mouscron,1-1,1-1,Sint-Truidense VV,
Regular Season,29,Sun Mar 10 2019,18:00,AS Eupen,0-4,0-3,Club Brugge KV,
Regular Season,29,Sun Mar 10 2019,18:00,Cercle Brugge,1-2,0-2,Standard Liège,
Regular Season,29,Sun Mar 10 2019,18:00,Waasland-Beveren,1-1,0-0,SV Zulte Waregem,
Regular Season,29,Sun Mar 10 2019,18:00,Royal Antwerp FC,1-2,1-1,Sporting Charleroi,
Regular Season,30,Sun Mar 17 2019,18:00,Club Brugge KV,1-2,0-1,Royal Excel Mouscron,
Regular Season,30,Sun Mar 17 2019,18:00,Sint-Truidense VV,0-2,0-1,KAA Gent,
Regular Season,30,Sun Mar 17 2019,18:00,KV Kortrijk,2-0,0-0,Royal Antwerp FC,
Regular Season,30,Sun Mar 17 2019,18:00,KV Oostende,0-2,0-0,RSC Anderlecht,
Regular Season,30,Sun Mar 17 2019,18:00,SV Zulte Waregem,3-3,1-2,KRC Genk,
Regular Season,30,Sun Mar 17 2019,18:00,Sporting Lokeren,3-1,3-0,Cercle Brugge,
Regular Season,30,Sun Mar 17 2019,18:00,Sporting Charleroi,1-2,1-1,AS Eupen,
Regular Season,30,Sun Mar 17 2019,18:00,Standard Liège,4-3,0-2,Waasland-Beveren,
Playoffs - Championship,1,Fri Mar 29 2019,20:30,Standard Liège,3-1,0-1,Royal Antwerp FC,
Playoffs - Europa League,1,Sat Mar 30 2019,20:00,KV Oostende,1-2,1-1,AS Eupen,
Playoffs - Championship,1,Sat Mar 30 2019,20:30,KRC Genk,3-0,1-0,RSC Anderlecht,
Playoffs - Europa League,1,Sat Mar 30 2019,18:00,KV Kortrijk,3-1,2-0,Royal Excel Mouscron,
Playoffs - Europa League,1,Sat Mar 30 2019,20:00,SV Zulte Waregem,0-0,0-0,Waasland-Beveren,
Playoffs - Europa League,1,Sat Mar 30 2019,20:00,Union St. Gilloise,3-1,2-0,Cercle Brugge,
Playoffs - Europa League,1,Sun Mar 31 2019,20:00,KVC Westerlo,1-1,1-1,KFCO Beerschot Wilrijk,
Playoffs - Europa League,1,Sun Mar 31 2019,14:30,Sint-Truidense VV,3-1,1-1,Sporting Charleroi,
Playoffs - Championship,1,Sun Mar 31 2019,18:00,Club Brugge KV,3-0,2-0,KAA Gent,
Playoffs - Europa League,2,Tue Apr 2 2019,20:30,Royal Excel Mouscron,0-2,0-0,Union St. Gilloise,
Playoffs - Europa League,2,Tue Apr 2 2019,20:30,Waasland-Beveren,2-3,0-0,KV Kortrijk,
Playoffs - Championship,2,Tue Apr 2 2019,20:30,Royal Antwerp FC,1-0,1-0,KRC Genk,
Playoffs - Europa League,2,Tue Apr 2 2019,20:30,Cercle Brugge,3-3,1-2,SV Zulte Waregem,
Playoffs - Championship,2,Wed Apr 3 2019,20:30,KAA Gent,1-2,0-1,Standard Liège,
Playoffs - Europa League,2,Wed Apr 3 2019,20:30,Sporting Charleroi,1-2,1-1,KV Oostende,
Playoffs - Europa League,2,Wed Apr 3 2019,20:30,KFCO Beerschot Wilrijk,1-2,1-1,Sint-Truidense VV,
Playoffs - Europa League,2,Wed Apr 3 2019,20:30,AS Eupen,0-3,0-2,KVC Westerlo,
Playoffs - Championship,2,Thu Apr 4 2019,20:30,RSC Anderlecht,2-3,0-2,Club Brugge KV,
Playoffs - Europa League,3,Fri Apr 5 2019,20:30,KV Kortrijk,4-2,2-2,SV Zulte Waregem,
Playoffs - Europa League,3,Sat Apr 6 2019,18:00,KV Oostende,2-1,1-1,KFCO Beerschot Wilrijk,
Playoffs - Europa League,3,Sat Apr 6 2019,20:00,Royal Excel Mouscron,2-3,0-0,Cercle Brugge,
Playoffs - Europa League,3,Sat Apr 6 2019,20:00,Union St. Gilloise,5-1,2-1,Waasland-Beveren,
Playoffs - Championship,3,Sat Apr 6 2019,20:30,KRC Genk,2-1,2-0,KAA Gent,
Playoffs - Europa League,3,Sat Apr 6 2019,20:00,KVC Westerlo,2-2,1-0,Sint-Truidense VV,
Playoffs - Europa League,3,Sun Apr 7 2019,20:00,AS Eupen,0-1,0-0,Sporting Charleroi,
Playoffs - Championship,3,Sun Apr 7 2019,18:00,RSC Anderlecht,1-2,1-1,Royal Antwerp FC,
Playoffs - Championship,3,Mon Apr 8 2019,20:30,Club Brugge KV,4-0,3-0,Standard Liège,
Playoffs - Championship,4,Fri Apr 12 2019,20:30,Standard Liège,5-0 (*),,RSC Anderlecht,awd.
Playoffs - Championship,4,Sat Apr 13 2019,20:30,KAA Gent,1-2,0-1,Royal Antwerp FC,
Playoffs - Europa League,4,Sat Apr 13 2019,18:00,KFCO Beerschot Wilrijk,2-0,1-0,AS Eupen,
Playoffs - Europa League,4,Sat Apr 13 2019,18:00,SV Zulte Waregem,2-2,0-0,Royal Excel Mouscron,
Playoffs - Europa League,4,Sat Apr 13 2019,20:00,Sint-Truidense VV,1-0,0-0,KV Oostende,
Playoffs - Europa League,4,Sat Apr 13 2019,20:00,KV Kortrijk,0-1,0-0,Union St. Gilloise,
Playoffs - Europa League,4,Sat Apr 13 2019,20:00,Cercle Brugge,3-2,1-1,Waasland-Beveren,
Playoffs - Europa League,4,Sun Apr 14 2019,20:00,Sporting Charleroi,2-0,0-0,KVC Westerlo,
Playoffs - Championship,4,Sun Apr 14 2019,18:00,KRC Genk,3-1,1-1,Club Brugge KV,
Playoffs - Championship,5,Fri Apr 19 2019,20:30,Standard Liège,1-3,0-1,KRC Genk,
Playoffs - Europa League,5,Sat Apr 20 2019,20:00,Cercle Brugge,1-2,0-0,KV Kortrijk,
Playoffs - Europa League,5,Sat Apr 20 2019,18:00,Union St. Gilloise,2-2,1-0,SV Zulte Waregem,
Playoffs - Europa League,5,Sat Apr 20 2019,20:00,KVC Westerlo,0-0,0-0,KV Oostende,
Playoffs - Europa League,5,Sat Apr 20 2019,20:30,AS Eupen,1-1,0-0,Sint-Truidense VV,
Playoffs - Europa League,5,Sun Apr 21 2019,20:00,Waasland-Beveren,2-1,1-1,Royal Excel Mouscron,
Playoffs - Championship,5,Sun Apr 21 2019,18:00,RSC Anderlecht,0-0,0-0,KAA Gent,
Playoffs - Europa League,5,Mon Apr 22 2019,18:00,Sporting Charleroi,4-0,1-0,KFCO Beerschot Wilrijk,
Playoffs - Championship,5,Mon Apr 22 2019,14:30,Royal Antwerp FC,0-0,0-0,Club Brugge KV,
Playoffs - Championship,6,Fri Apr 26 2019,20:30,Royal Antwerp FC,2-1,1-1,Standard Liège,
Playoffs - Championship,6,Sat Apr 27 2019,20:30,KAA Gent,0-1,0-0,KRC Genk,
Playoffs - Europa League,6,Sat Apr 27 2019,20:00,SV Zulte Waregem,6-2,3-0,Cercle Brugge,
Playoffs - Europa League,6,Sat Apr 27 2019,20:00,Royal Excel Mouscron,2-3,1-1,KV Kortrijk,
Playoffs - Europa League,6,Sat Apr 27 2019,20:00,KVC Westerlo,1-0,1-0,AS Eupen,
Playoffs - Europa League,6,Sat Apr 27 2019,20:00,Waasland-Beveren,3-2,1-1,Union St. Gilloise,
Playoffs - Europa League,6,Sat Apr 27 2019,18:00,KV Oostende,2-2,0-0,Sporting Charleroi,
Playoffs - Championship,6,Sun Apr 28 2019,18:00,Club Brugge KV,1-0,0-0,RSC Anderlecht,
Playoffs - Europa League,6,Sun Apr 28 2019,20:00,Sint-Truidense VV,2-2,0-1,KFCO Beerschot Wilrijk,
Playoffs - Championship,7,Fri May 3 2019,20:30,KRC Genk,4-0,1-0,Royal Antwerp FC,
Playoffs - Europa League,7,Sat May 4 2019,20:00,Cercle Brugge,2-3,0-0,Union St. Gilloise,
Playoffs - Europa League,7,Sat May 4 2019,20:30,KFCO Beerschot Wilrijk,3-2,2-0,KVC Westerlo,
Playoffs - Europa League,7,Sat May 4 2019,20:00,AS Eupen,3-2,1-1,KV Oostende,
Playoffs - Europa League,7,Sat May 4 2019,18:00,Sporting Charleroi,2-0,1-0,Sint-Truidense VV,
Playoffs - Europa League,7,Sat May 4 2019,20:00,KV Kortrijk,2-1,2-1,Waasland-Beveren,
Playoffs - Championship,7,Sun May 5 2019,18:00,KAA Gent,0-1,0-1,Club Brugge KV,
Playoffs - Europa League,7,Sun May 5 2019,20:00,Royal Excel Mouscron,3-0,2-0,SV Zulte Waregem,
Playoffs - Championship,7,Sun May 5 2019,14:30,RSC Anderlecht,2-1,1-0,Standard Liège,
Playoffs - Championship,8,Fri May 10 2019,20:30,Standard Liège,2-3,1-1,KAA Gent,
Playoffs - Europa League,8,Sat May 11 2019,20:00,KV Oostende,0-3,0-1,KVC Westerlo,
Playoffs - Europa League,8,Sat May 11 2019,20:00,Waasland-Beveren,2-1,0-1,Cercle Brugge,
Playoffs - Europa League,8,Sat May 11 2019,20:00,SV Zulte Waregem,0-5,0-3,KV Kortrijk,
Playoffs - Europa League,8,Sat May 11 2019,18:00,KFCO Beerschot Wilrijk,0-3,0-2,Sporting Charleroi,
Playoffs - Europa League,8,Sat May 11 2019,20:30,Union St. Gilloise,3-3,2-1,Royal Excel Mouscron,
Playoffs - Championship,8,Sun May 12 2019,14:30,Royal Antwerp FC,1-1,0-1,RSC Anderlecht,
Playoffs - Championship,8,Sun May 12 2019,18:00,Club Brugge KV,3-2,0-1,KRC Genk,
Playoffs - Europa League,8,Sun May 12 2019,20:00,Sint-Truidense VV,2-2,0-1,AS Eupen,
Playoffs - Europa League,9,Tue May 14 2019,20:30,Waasland-Beveren,0-5,0-1,SV Zulte Waregem,
Playoffs - Europa League,9,Tue May 14 2019,20:30,Union St. Gilloise,2-0,1-0,KV Kortrijk,
Playoffs - Europa League,9,Tue May 14 2019,20:30,Cercle Brugge,0-3,0-0,Royal Excel Mouscron,
Playoffs - Europa League,9,Wed May 15 2019,20:30,KVC Westerlo,0-2,0-1,Sporting Charleroi,
Playoffs - Europa League,9,Wed May 15 2019,20:30,KV Oostende,1-1,1-0,Sint-Truidense VV,
Playoffs - Europa League,9,Wed May 15 2019,20:30,AS Eupen,1-0,0-0,KFCO Beerschot Wilrijk,
Playoffs - Championship,9,Thu May 16 2019,20:30,Standard Liège,2-0,0-0,Club Brugge KV,
Playoffs - Championship,9,Thu May 16 2019,20:30,RSC Anderlecht,1-1,0-1,KRC Genk,
Playoffs - Championship,9,Thu May 16 2019,20:30,Royal Antwerp FC,1-2,1-1,KAA Gent,
Playoffs - Europa League,10,Fri May 17 2019,20:30,SV Zulte Waregem,2-1,2-1,Union St. Gilloise,
Playoffs - Europa League,10,Fri May 17 2019,20:30,Royal Excel Mouscron,2-4,1-1,Waasland-Beveren,
Playoffs - Europa League,10,Fri May 17 2019,20:30,KV Kortrijk,4-0,1-0,Cercle Brugge,
Playoffs - Europa League,10,Sat May 18 2019,20:00,Sint-Truidense VV,2-1,0-1,KVC Westerlo,
Playoffs - Europa League,10,Sat May 18 2019,20:00,KFCO Beerschot Wilrijk,1-2,0-1,KV Oostende,
Playoffs - Europa League,10,Sat May 18 2019,20:00,Sporting Charleroi,2-0,0-0,AS Eupen,
Playoffs - Championship,10,Sun May 19 2019,18:00,KRC Genk,0-0,0-0,Standard Liège,
Playoffs - Championship,10,Sun May 19 2019,18:00,Club Brugge KV,3-2,1-0,Royal Antwerp FC,
Playoffs - Championship,10,Sun May 19 2019,18:00,KAA Gent,2-1,1-0,RSC Anderlecht,
Playoffs - Europa League - Finals,Semifinals,Wed May 22 2019,20:30,KV Kortrijk,1-2,1-1,Sporting Charleroi,
Playoffs - Europa League - Finals,Final,Sun May 26 2019,14:30,Royal Antwerp FC,3-2,2-2,Sporting Charleroi,
