Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 16 2019,19:00,Giresunspor,0-2,0-1,Menemen Belediyespor,
1,Sat Aug 17 2019,18:15,Fatih Karagümrük SK,3-1,1-0,Bursaspor,
1,Sat Aug 17 2019,20:45,Adana Demirspor,2-0,0-0,Balıkesirspor,
1,Sat Aug 17 2019,20:45,Osmanlıspor FK,2-1,0-0,Boluspor,
1,Sun Aug 18 2019,15:30,Hatayspor,1-0,0-0,Altınordu FSG,
1,Sun Aug 18 2019,18:15,BB Erzurumspor,2-2,0-2,Istanbulspor,
1,Sun Aug 18 2019,20:45,Altay Izmir,1-3,0-1,Ümraniyespor,
1,Sun Aug 18 2019,20:45,Akhisar Belediyespor,1-0,0-0,Adanaspor,
1,Mon Aug 19 2019,19:00,Eskişehirspor,1-1,0-0,Keçiörengücü,
2,Fri Aug 23 2019,19:00,Boluspor,0-0,0-0,Adana Demirspor,
2,Sat Aug 24 2019,15:30,Keçiörengücü,1-0,0-0,Osmanlıspor FK,
2,Sat Aug 24 2019,20:45,Balıkesirspor,2-1,1-0,BB Erzurumspor,
2,Sat Aug 24 2019,20:45,Altınordu FSG,1-2,0-1,Fatih Karagümrük SK,
2,Sun Aug 25 2019,16:00,Ümraniyespor,4-1,2-0,Giresunspor,
2,Sun Aug 25 2019,18:15,Menemen Belediyespor,0-4,0-1,Hatayspor,
2,Sun Aug 25 2019,20:45,Adanaspor,3-2,1-1,Eskişehirspor,
2,Sun Aug 25 2019,20:45,Bursaspor,2-1,1-0,Akhisar Belediyespor,
2,Mon Aug 26 2019,19:00,Istanbulspor,2-2,1-2,Altay Izmir,
3,Fri Aug 30 2019,19:00,Osmanlıspor FK,2-2,1-0,Adanaspor,
3,Sat Aug 31 2019,20:45,Altay Izmir,1-0,0-0,Balıkesirspor,
3,Sat Aug 31 2019,16:00,Ümraniyespor,2-1,0-1,Istanbulspor,
3,Sat Aug 31 2019,20:45,Akhisar Belediyespor,0-0,0-0,Altınordu FSG,
3,Sat Aug 31 2019,18:15,BB Erzurumspor,1-0,0-0,Boluspor,
3,Sun Sep 1 2019,18:15,Giresunspor,2-2,1-0,Hatayspor,
3,Sun Sep 1 2019,18:15,Fatih Karagümrük SK,1-1,0-0,Menemen Belediyespor,
3,Sun Sep 1 2019,20:45,Adana Demirspor,0-0,0-0,Keçiörengücü,
3,Sun Sep 1 2019,20:45,Eskişehirspor,0-2,0-0,Bursaspor,
4,Fri Sep 13 2019,18:00,Balıkesirspor,2-0,2-0,Ümraniyespor,
4,Sat Sep 14 2019,18:00,Boluspor,0-2,0-1,Altay Izmir,
4,Sat Sep 14 2019,18:00,Altınordu FSG,4-1,1-0,Eskişehirspor,
4,Sat Sep 14 2019,14:30,Keçiörengücü,1-0,0-0,BB Erzurumspor,
4,Sun Sep 15 2019,15:30,Bursaspor,3-1,2-0,Osmanlıspor FK,
4,Sun Sep 15 2019,18:00,Menemen Belediyespor,0-1,0-0,Akhisar Belediyespor,
4,Sun Sep 15 2019,18:00,Adanaspor,0-0,0-0,Adana Demirspor,
4,Sun Sep 15 2019,15:30,Istanbulspor,2-1,0-0,Giresunspor,
4,Mon Sep 16 2019,18:00,Hatayspor,0-0,0-0,Fatih Karagümrük SK,
5,Fri Sep 20 2019,18:00,BB Erzurumspor,2-1,1-1,Adanaspor,
5,Fri Sep 20 2019,18:00,Istanbulspor,2-2,0-2,Balıkesirspor,
5,Sat Sep 21 2019,18:00,Adana Demirspor,4-1,3-0,Bursaspor,
5,Sat Sep 21 2019,15:30,Altay Izmir,0-0,0-0,Keçiörengücü,
5,Sat Sep 21 2019,15:30,Osmanlıspor FK,2-1,1-0,Altınordu FSG,
5,Sat Sep 21 2019,13:00,Ümraniyespor,1-1,0-1,Boluspor,
5,Sun Sep 22 2019,13:00,Giresunspor,1-1,0-0,Fatih Karagümrük SK,
5,Sun Sep 22 2019,15:30,Eskişehirspor,3-0,0-0,Menemen Belediyespor,
5,Sun Sep 22 2019,18:00,Akhisar Belediyespor,3-1,2-1,Hatayspor,
6,Sat Sep 28 2019,13:00,Keçiörengücü,1-1,1-0,Ümraniyespor,
6,Sat Sep 28 2019,15:30,Boluspor,1-2,0-1,Istanbulspor,
6,Sat Sep 28 2019,18:00,Bursaspor,1-0,1-0,BB Erzurumspor,
6,Sat Sep 28 2019,18:00,Adanaspor,3-3,2-2,Altay Izmir,
6,Sun Sep 29 2019,13:00,Hatayspor,1-0,0-0,Eskişehirspor,
6,Sun Sep 29 2019,13:00,Fatih Karagümrük SK,2-3,1-3,Akhisar Belediyespor,
6,Sun Sep 29 2019,15:30,Balıkesirspor,2-0,2-0,Giresunspor,
6,Sun Sep 29 2019,18:00,Menemen Belediyespor,1-2,0-1,Osmanlıspor FK,
6,Mon Sep 30 2019,18:00,Altınordu FSG,2-2,0-1,Adana Demirspor,
7,Fri Oct 4 2019,18:00,Altay Izmir,2-1,2-1,Bursaspor,
7,Sat Oct 5 2019,13:00,Giresunspor,1-0,1-0,Akhisar Belediyespor,
7,Sat Oct 5 2019,15:30,Eskişehirspor,1-3,0-2,Fatih Karagümrük SK,
7,Sat Oct 5 2019,18:00,Balıkesirspor,3-2,1-1,Boluspor,
7,Sat Oct 5 2019,15:30,Istanbulspor,1-1,0-0,Keçiörengücü,
7,Sun Oct 6 2019,18:00,Adana Demirspor,0-1,0-1,Menemen Belediyespor,
7,Sun Oct 6 2019,15:30,BB Erzurumspor,1-0,1-0,Altınordu FSG,
7,Sun Oct 6 2019,15:30,Osmanlıspor FK,0-1,0-1,Hatayspor,
7,Sun Oct 6 2019,13:00,Ümraniyespor,2-1,1-0,Adanaspor,
8,Fri Oct 18 2019,18:00,Akhisar Belediyespor,2-1,1-0,Eskişehirspor,
8,Sat Oct 19 2019,13:00,Hatayspor,2-1,0-1,Adana Demirspor,
8,Sat Oct 19 2019,15:30,Bursaspor,2-1,0-1,Ümraniyespor,
8,Sat Oct 19 2019,18:00,Menemen Belediyespor,0-0,0-0,BB Erzurumspor,
8,Sun Oct 20 2019,13:00,Keçiörengücü,1-0,1-0,Balıkesirspor,
8,Sun Oct 20 2019,15:30,Boluspor,2-0,0-0,Giresunspor,
8,Sun Oct 20 2019,18:00,Altınordu FSG,0-3,0-0,Altay Izmir,
8,Sun Oct 20 2019,18:00,Adanaspor,2-2,0-1,Istanbulspor,
8,Mon Oct 21 2019,18:00,Fatih Karagümrük SK,2-0,1-0,Osmanlıspor FK,
9,Fri Oct 25 2019,18:00,Boluspor,3-1,2-0,Keçiörengücü,
9,Sat Oct 26 2019,13:00,Ümraniyespor,4-0,4-0,Altınordu FSG,
9,Sat Oct 26 2019,15:30,Balıkesirspor,3-0,2-0,Adanaspor,
9,Sat Oct 26 2019,15:30,Istanbulspor,1-2,0-1,Bursaspor,
9,Sat Oct 26 2019,18:00,Altay Izmir,0-2,0-0,Menemen Belediyespor,
9,Sun Oct 27 2019,12:00,BB Erzurumspor,3-1,2-0,Hatayspor,
9,Sun Oct 27 2019,14:30,Giresunspor,3-1,0-0,Eskişehirspor,
9,Sun Oct 27 2019,17:00,Adana Demirspor,1-1,1-1,Fatih Karagümrük SK,
9,Mon Oct 28 2019,17:00,Osmanlıspor FK,2-1,1-0,Akhisar Belediyespor,
10,Sat Nov 2 2019,12:00,Hatayspor,3-2,1-0,Altay Izmir,
10,Sat Nov 2 2019,17:00,Akhisar Belediyespor,1-1,1-0,Adana Demirspor,
10,Sat Nov 2 2019,14:30,Menemen Belediyespor,1-0,0-0,Ümraniyespor,
10,Sat Nov 2 2019,14:30,Adanaspor,0-0,0-0,Boluspor,
10,Sun Nov 3 2019,12:00,Keçiörengücü,0-0,0-0,Giresunspor,
10,Sun Nov 3 2019,14:30,Eskişehirspor,3-2,1-1,Osmanlıspor FK,
10,Sun Nov 3 2019,17:00,Altınordu FSG,1-1,0-0,Istanbulspor,
10,Sun Nov 3 2019,14:30,Fatih Karagümrük SK,0-1,0-0,BB Erzurumspor,
10,Mon Nov 4 2019,17:00,Bursaspor,0-0,0-0,Balıkesirspor,
11,Fri Nov 8 2019,17:00,Adana Demirspor,2-3,1-1,Eskişehirspor,
11,Sat Nov 9 2019,12:00,BB Erzurumspor,0-0,0-0,Akhisar Belediyespor,
11,Sat Nov 9 2019,14:30,Giresunspor,2-1,0-1,Osmanlıspor FK,
11,Sat Nov 9 2019,17:00,Altay Izmir,0-1,0-1,Fatih Karagümrük SK,
11,Sat Nov 9 2019,14:30,Istanbulspor,1-2,0-1,Menemen Belediyespor,
11,Sun Nov 10 2019,12:00,Keçiörengücü,2-0,2-0,Adanaspor,
11,Sun Nov 10 2019,17:00,Balıkesirspor,0-0,0-0,Altınordu FSG,
11,Sun Nov 10 2019,14:30,Boluspor,1-1,0-0,Bursaspor,
11,Sun Nov 10 2019,12:00,Ümraniyespor,0-0,0-0,Hatayspor,
12,Fri Nov 22 2019,17:00,Adanaspor,1-1,0-0,Giresunspor,
12,Sat Nov 23 2019,14:30,Eskişehirspor,1-2,1-1,BB Erzurumspor,
12,Sat Nov 23 2019,12:00,Fatih Karagümrük SK,2-3,1-0,Ümraniyespor,
12,Sat Nov 23 2019,17:00,Bursaspor,1-0,1-0,Keçiörengücü,
12,Sun Nov 24 2019,12:00,Hatayspor,1-0,0-0,Istanbulspor,
12,Sun Nov 24 2019,14:30,Menemen Belediyespor,1-0,0-0,Balıkesirspor,
12,Sun Nov 24 2019,14:30,Osmanlıspor FK,2-3,0-3,Adana Demirspor,
12,Sun Nov 24 2019,17:00,Akhisar Belediyespor,2-1,0-0,Altay Izmir,
12,Mon Nov 25 2019,17:00,Altınordu FSG,2-0,1-0,Boluspor,
13,Fri Nov 29 2019,17:00,Istanbulspor,4-0,2-0,Fatih Karagümrük SK,
13,Sat Nov 30 2019,12:00,Keçiörengücü,2-1,1-1,Altınordu FSG,
13,Sat Nov 30 2019,14:30,BB Erzurumspor,2-0,0-0,Osmanlıspor FK,
13,Sat Nov 30 2019,17:00,Adanaspor,2-3,1-2,Bursaspor,
13,Sun Dec 1 2019,12:00,Giresunspor,1-0,1-0,Adana Demirspor,
13,Sun Dec 1 2019,12:00,Ümraniyespor,2-2,1-2,Akhisar Belediyespor,
13,Sun Dec 1 2019,14:30,Boluspor,2-2,2-1,Menemen Belediyespor,
13,Sun Dec 1 2019,17:00,Altay Izmir,1-1,1-1,Eskişehirspor,
13,Mon Dec 2 2019,17:00,Balıkesirspor,0-1,0-0,Hatayspor,
14,Fri Dec 6 2019,17:00,Eskişehirspor,3-1,2-0,Ümraniyespor,
14,Sat Dec 7 2019,12:00,Hatayspor,3-0,1-0,Boluspor,
14,Sat Dec 7 2019,14:30,Fatih Karagümrük SK,0-0,0-0,Balıkesirspor,
14,Sat Dec 7 2019,17:00,Akhisar Belediyespor,4-3,1-0,Istanbulspor,
14,Sun Dec 8 2019,12:00,Osmanlıspor FK,0-0,0-0,Altay Izmir,
14,Sun Dec 8 2019,14:30,Altınordu FSG,1-0,0-0,Adanaspor,
14,Sun Dec 8 2019,14:30,Bursaspor,2-3,0-2,Giresunspor,
14,Sun Dec 8 2019,17:00,Adana Demirspor,1-0,0-0,BB Erzurumspor,
14,Mon Dec 9 2019,17:00,Menemen Belediyespor,1-1,0-0,Keçiörengücü,
15,Fri Dec 13 2019,17:00,Altay Izmir,1-0,1-0,Adana Demirspor,
15,Sat Dec 14 2019,12:00,Boluspor,0-2,0-2,Fatih Karagümrük SK,
15,Sat Dec 14 2019,12:00,BB Erzurumspor,2-0,0-0,Giresunspor,
15,Sat Dec 14 2019,14:30,Istanbulspor,1-0,0-0,Eskişehirspor,
15,Sat Dec 14 2019,17:00,Adanaspor,1-3,0-2,Menemen Belediyespor,
15,Sun Dec 15 2019,12:00,Keçiörengücü,0-1,0-0,Hatayspor,
15,Sun Dec 15 2019,12:00,Ümraniyespor,1-0,1-0,Osmanlıspor FK,
15,Sun Dec 15 2019,14:30,Balıkesirspor,0-0,0-0,Akhisar Belediyespor,
15,Sun Dec 15 2019,17:00,Altınordu FSG,0-0,0-0,Bursaspor,
16,Fri Dec 20 2019,17:00,Adana Demirspor,4-2,3-0,Ümraniyespor,
16,Sat Dec 21 2019,12:00,Hatayspor,1-0,0-0,Adanaspor,
16,Sat Dec 21 2019,14:30,Eskişehirspor,1-2,1-1,Balıkesirspor,
16,Sat Dec 21 2019,17:00,Akhisar Belediyespor,0-0,0-0,Boluspor,
16,Sun Dec 22 2019,17:00,Menemen Belediyespor,2-1,0-1,Bursaspor,
16,Sun Dec 22 2019,12:00,Osmanlıspor FK,1-1,0-1,Istanbulspor,
16,Sun Dec 22 2019,14:30,Fatih Karagümrük SK,0-2,0-0,Keçiörengücü,
16,Sun Dec 22 2019,12:00,BB Erzurumspor,1-3,1-2,Altay Izmir,
16,Mon Dec 23 2019,17:00,Giresunspor,1-1,0-0,Altınordu FSG,
17,Fri Dec 27 2019,17:00,Adanaspor,2-0,1-0,Fatih Karagümrük SK,
17,Sat Dec 28 2019,12:00,Ümraniyespor,1-2,0-0,BB Erzurumspor,
17,Sat Dec 28 2019,14:30,Balıkesirspor,1-1,0-1,Osmanlıspor FK,
17,Sat Dec 28 2019,14:30,Bursaspor,2-1,1-1,Hatayspor,
17,Sat Dec 28 2019,17:00,Altınordu FSG,1-0,1-0,Menemen Belediyespor,
17,Sun Dec 29 2019,12:00,Boluspor,1-1,1-0,Eskişehirspor,
17,Sun Dec 29 2019,12:00,Keçiörengücü,1-0,0-0,Akhisar Belediyespor,
17,Sun Dec 29 2019,14:30,Istanbulspor,0-2,0-2,Adana Demirspor,
17,Sun Dec 29 2019,17:00,Altay Izmir,0-0,0-0,Giresunspor,
18,Fri Jan 17 2020,17:00,Menemen Belediyespor,0-3,0-1,Giresunspor,
18,Sat Jan 18 2020,12:00,Ümraniyespor,1-0,0-0,Altay Izmir,
18,Sat Jan 18 2020,14:30,Adanaspor,0-0,0-0,Akhisar Belediyespor,
18,Sat Jan 18 2020,17:00,Altınordu FSG,2-2,2-1,Hatayspor,
18,Sun Jan 19 2020,12:00,Istanbulspor,1-1,0-1,BB Erzurumspor,
18,Sun Jan 19 2020,12:00,Keçiörengücü,0-1,0-0,Eskişehirspor,
18,Sun Jan 19 2020,17:00,Bursaspor,2-1,1-0,Fatih Karagümrük SK,
18,Sun Jan 19 2020,14:30,Boluspor,0-2,0-1,Osmanlıspor FK,
18,Mon Jan 20 2020,17:00,Balıkesirspor,1-6,0-4,Adana Demirspor,
19,Fri Jan 24 2020,17:00,Akhisar Belediyespor,0-1,0-0,Bursaspor,
19,Sat Jan 25 2020,12:00,Giresunspor,2-1,1-0,Ümraniyespor,
19,Sat Jan 25 2020,17:00,Altay Izmir,1-0,1-0,Istanbulspor,
19,Sat Jan 25 2020,14:30,Osmanlıspor FK,0-0,0-0,Keçiörengücü,
19,Sun Jan 26 2020,12:00,BB Erzurumspor,1-0,1-0,Balıkesirspor,
19,Sun Jan 26 2020,12:00,Hatayspor,2-0,0-0,Menemen Belediyespor,
19,Sun Jan 26 2020,14:30,Eskişehirspor,0-0,0-0,Adanaspor,
19,Sun Jan 26 2020,17:00,Adana Demirspor,2-2,1-0,Boluspor,
19,Mon Jan 27 2020,17:00,Fatih Karagümrük SK,3-3,1-0,Altınordu FSG,
20,Fri Jan 31 2020,17:00,Adanaspor,3-1,2-0,Osmanlıspor FK,
20,Sat Feb 1 2020,17:00,Menemen Belediyespor,0-1,0-0,Fatih Karagümrük SK,
20,Sat Feb 1 2020,14:30,Boluspor,1-1,1-1,BB Erzurumspor,
20,Sat Feb 1 2020,12:00,Keçiörengücü,1-3,0-0,Adana Demirspor,
20,Sun Feb 2 2020,12:00,Hatayspor,1-1,0-0,Giresunspor,
20,Sun Feb 2 2020,14:30,Altınordu FSG,2-0,1-0,Akhisar Belediyespor,
20,Sun Feb 2 2020,17:00,Bursaspor,0-1,0-0,Eskişehirspor,
20,Sun Feb 2 2020,14:30,Balıkesirspor,0-0,0-0,Altay Izmir,
20,Mon Feb 3 2020,17:00,Istanbulspor,2-1,0-0,Ümraniyespor,
21,Fri Feb 7 2020,17:00,Fatih Karagümrük SK,1-1,0-0,Hatayspor,
21,Sat Feb 8 2020,14:30,Eskişehirspor,3-0,1-0,Altınordu FSG,
21,Sat Feb 8 2020,17:00,Adana Demirspor,4-1,2-0,Adanaspor,
21,Sun Feb 9 2020,17:00,Altay Izmir,2-1,0-1,Boluspor,
21,Sun Feb 9 2020,14:30,Osmanlıspor FK,2-4,2-1,Bursaspor,
21,Sun Feb 9 2020,12:00,Ümraniyespor,0-3,0-0,Balıkesirspor,
21,Mon Feb 10 2020,12:00,BB Erzurumspor,1-0,0-0,Keçiörengücü,
21,Mon Feb 10 2020,17:00,Akhisar Belediyespor,2-2,1-0,Menemen Belediyespor,
22,Fri Feb 14 2020,17:00,Altınordu FSG,2-2,1-2,Osmanlıspor FK,
22,Sat Feb 15 2020,14:30,Boluspor,1-1,1-0,Ümraniyespor,
22,Sat Feb 15 2020,12:00,Hatayspor,2-3,1-3,Akhisar Belediyespor,
22,Sat Feb 15 2020,17:00,Menemen Belediyespor,3-1,1-0,Eskişehirspor,
22,Sun Feb 16 2020,14:30,Fatih Karagümrük SK,2-1,1-0,Giresunspor,
22,Sun Feb 16 2020,12:00,Keçiörengücü,2-0,1-0,Altay Izmir,
22,Sun Feb 16 2020,17:00,Balıkesirspor,0-5,0-2,Istanbulspor,
22,Sun Feb 16 2020,14:30,Bursaspor,2-1,2-0,Adana Demirspor,
22,Mon Feb 17 2020,17:00,Adanaspor,0-0,0-0,BB Erzurumspor,
23,Fri Feb 21 2020,17:00,Osmanlıspor FK,2-0,0-0,Menemen Belediyespor,
23,Fri Feb 21 2020,17:00,Eskişehirspor,0-1,0-0,Hatayspor,
23,Sat Feb 22 2020,12:00,BB Erzurumspor,2-1,0-0,Bursaspor,
23,Sat Feb 22 2020,17:00,Adana Demirspor,4-2,3-0,Altınordu FSG,
23,Sat Feb 22 2020,12:00,Ümraniyespor,2-0,1-0,Keçiörengücü,
23,Sat Feb 22 2020,14:30,Akhisar Belediyespor,0-2,0-2,Fatih Karagümrük SK,
23,Sun Feb 23 2020,17:00,Istanbulspor,0-0,0-0,Boluspor,
23,Sun Feb 23 2020,12:00,Giresunspor,0-3,0-2,Balıkesirspor,
23,Sun Feb 23 2020,14:30,Altay Izmir,3-1,2-0,Adanaspor,
24,Tue Feb 25 2020,17:00,Fatih Karagümrük SK,2-0,1-0,Eskişehirspor,
24,Tue Feb 25 2020,12:00,Hatayspor,1-0,1-0,Osmanlıspor FK,
24,Tue Feb 25 2020,14:30,Menemen Belediyespor,2-3,2-1,Adana Demirspor,
24,Wed Feb 26 2020,14:30,Altınordu FSG,2-1,0-0,BB Erzurumspor,
24,Wed Feb 26 2020,14:30,Akhisar Belediyespor,2-0,2-0,Giresunspor,
24,Wed Feb 26 2020,17:00,Adanaspor,0-1,0-1,Ümraniyespor,
24,Thu Feb 27 2020,17:00,Bursaspor,2-2,1-2,Altay Izmir,
24,Thu Feb 27 2020,14:30,Boluspor,1-1,0-1,Balıkesirspor,
24,Thu Feb 27 2020,12:00,Keçiörengücü,0-0,0-0,Istanbulspor,
25,Sat Feb 29 2020,14:30,Eskişehirspor,1-2,0-2,Akhisar Belediyespor,
25,Sat Feb 29 2020,12:00,Osmanlıspor FK,1-1,0-0,Fatih Karagümrük SK,
25,Sat Feb 29 2020,17:00,Adana Demirspor,1-1,0-0,Hatayspor,
25,Sun Mar 1 2020,17:00,Altay Izmir,1-0,0-0,Altınordu FSG,
25,Sun Mar 1 2020,12:00,BB Erzurumspor,2-0,1-0,Menemen Belediyespor,
25,Sun Mar 1 2020,12:00,Ümraniyespor,1-1,0-1,Bursaspor,
25,Sun Mar 1 2020,14:30,Istanbulspor,1-0,1-0,Adanaspor,
25,Mon Mar 2 2020,17:00,Giresunspor,2-0,1-0,Boluspor,
25,Mon Mar 2 2020,17:00,Balıkesirspor,2-2,0-0,Keçiörengücü,
26,Fri Mar 6 2020,17:00,Menemen Belediyespor,1-1,1-1,Altay Izmir,
26,Fri Mar 6 2020,17:00,Adanaspor,1-1,0-1,Balıkesirspor,
26,Sat Mar 7 2020,17:00,Bursaspor,1-1,0-0,Istanbulspor,
26,Sat Mar 7 2020,12:00,Hatayspor,0-0,0-0,BB Erzurumspor,
26,Sat Mar 7 2020,12:00,Keçiörengücü,0-1,0-1,Boluspor,
26,Sat Mar 7 2020,14:30,Eskişehirspor,0-2,0-1,Giresunspor,
26,Sat Mar 7 2020,14:30,Fatih Karagümrük SK,2-2,1-0,Adana Demirspor,
26,Sun Mar 8 2020,14:30,Akhisar Belediyespor,3-2,1-0,Osmanlıspor FK,
26,Sun Mar 8 2020,17:00,Altınordu FSG,1-2,0-1,Ümraniyespor,
27,Tue Mar 10 2020,12:00,Boluspor,2-1,0-1,Adanaspor,
27,Tue Mar 10 2020,17:00,Balıkesirspor,1-3,0-2,Bursaspor,
27,Tue Mar 10 2020,14:30,Altay Izmir,2-1,0-0,Hatayspor,
27,Tue Mar 10 2020,14:30,BB Erzurumspor,1-3,1-0,Fatih Karagümrük SK,
27,Wed Mar 11 2020,17:00,Adana Demirspor,2-3,0-1,Akhisar Belediyespor,
27,Wed Mar 11 2020,12:00,Ümraniyespor,1-1,1-0,Menemen Belediyespor,
27,Wed Mar 11 2020,14:30,Giresunspor,1-0,1-0,Keçiörengücü,
27,Wed Mar 11 2020,17:00,Istanbulspor,0-2,0-0,Altınordu FSG,
27,Thu Mar 12 2020,17:00,Osmanlıspor FK,1-1,0-1,Eskişehirspor,
28,Sat Mar 14 2020,17:00,Bursaspor,1-1,1-1,Boluspor,
28,Sat Mar 14 2020,14:30,Fatih Karagümrük SK,2-2,2-0,Altay Izmir,
28,Sun Mar 15 2020,12:00,Hatayspor,2-0,0-0,Ümraniyespor,
28,Sun Mar 15 2020,17:00,Osmanlıspor FK,1-1,0-0,Giresunspor,
28,Sun Mar 15 2020,14:30,Adanaspor,1-1,1-1,Keçiörengücü,
28,Sun Mar 15 2020,14:30,Menemen Belediyespor,2-2,1-1,Istanbulspor,
28,Sun Mar 15 2020,17:00,Akhisar Belediyespor,0-0,0-0,BB Erzurumspor,
28,Mon Mar 16 2020,17:00,Altınordu FSG,1-1,0-1,Balıkesirspor,
28,Mon Mar 16 2020,17:00,Eskişehirspor,1-4,0-2,Adana Demirspor,
29,Fri Jun 19 2020,19:00,Giresunspor,3-1,0-0,Adanaspor,
29,Fri Jun 19 2020,19:00,Istanbulspor,2-2,1-0,Hatayspor,
29,Sat Jun 20 2020,19:00,Balıkesirspor,0-1,0-0,Menemen Belediyespor,
29,Sat Jun 20 2020,19:00,BB Erzurumspor,1-0,0-0,Eskişehirspor,
29,Sat Jun 20 2020,16:30,Keçiörengücü,1-0,0-0,Bursaspor,
29,Sun Jun 21 2020,19:00,Altay Izmir,3-1,2-1,Akhisar Belediyespor,
29,Sun Jun 21 2020,16:30,Ümraniyespor,1-1,1-1,Fatih Karagümrük SK,
29,Sun Jun 21 2020,19:00,Boluspor,0-0,0-0,Altınordu FSG,
29,Mon Jun 22 2020,19:00,Adana Demirspor,2-1,1-1,Osmanlıspor FK,
21,Tue Jun 23 2020,16:30,Giresunspor,(*),,Istanbulspor,abandoned
30,Fri Jun 26 2020,19:00,Altınordu FSG,1-2,0-1,Keçiörengücü,
30,Fri Jun 26 2020,19:00,Bursaspor,1-0,1-0,Adanaspor,
30,Sat Jun 27 2020,16:30,Eskişehirspor,2-2,0-0,Altay Izmir,
30,Sat Jun 27 2020,16:30,Osmanlıspor FK,1-3,1-2,BB Erzurumspor,
30,Sat Jun 27 2020,19:00,Menemen Belediyespor,1-1,0-0,Boluspor,
30,Sat Jun 27 2020,19:00,Adana Demirspor,4-2,2-0,Giresunspor,
30,Sun Jun 28 2020,16:30,Hatayspor,2-0,0-0,Balıkesirspor,
30,Sun Jun 28 2020,19:00,Fatih Karagümrük SK,1-0,0-0,Istanbulspor,
30,Sun Jun 28 2020,19:00,Akhisar Belediyespor,1-0,0-0,Ümraniyespor,
31,Tue Jun 30 2020,16:30,Keçiörengücü,2-1,0-1,Menemen Belediyespor,
31,Tue Jun 30 2020,18:00,Adanaspor,0-0,0-0,Altınordu FSG,
31,Tue Jun 30 2020,19:00,Giresunspor,0-1,0-0,Bursaspor,
31,Wed Jul 1 2020,16:30,Boluspor,1-0,0-0,Hatayspor,
31,Wed Jul 1 2020,19:00,BB Erzurumspor,1-2,1-0,Adana Demirspor,
31,Wed Jul 1 2020,19:00,Altay Izmir,3-0,2-0,Osmanlıspor FK,
31,Thu Jul 2 2020,16:30,Ümraniyespor,3-0,2-0,Eskişehirspor,
31,Thu Jul 2 2020,19:00,Istanbulspor,0-1,0-0,Akhisar Belediyespor,
31,Thu Jul 2 2020,19:00,Balıkesirspor,0-5,0-0,Fatih Karagümrük SK,
32,Sat Jul 4 2020,19:00,Bursaspor,1-0,0-0,Altınordu FSG,
32,Sat Jul 4 2020,19:00,Menemen Belediyespor,4-2,2-1,Adanaspor,
32,Sun Jul 5 2020,16:30,Giresunspor,0-2,0-2,BB Erzurumspor,
32,Sun Jul 5 2020,16:30,Hatayspor,1-0,0-0,Keçiörengücü,
32,Sun Jul 5 2020,19:00,Osmanlıspor FK,3-2,1-1,Ümraniyespor,
32,Sun Jul 5 2020,19:00,Adana Demirspor,2-2,1-0,Altay Izmir,
32,Mon Jul 6 2020,16:30,Fatih Karagümrük SK,3-1,1-0,Boluspor,
32,Mon Jul 6 2020,19:00,Akhisar Belediyespor,,,Balıkesirspor,
32,Mon Jul 6 2020,19:00,Eskişehirspor,,,Istanbulspor,
33,Sun Jul 12 2020,12:30,Altınordu FSG,,,Giresunspor,
33,Sun Jul 12 2020,12:30,Altay Izmir,,,BB Erzurumspor,
33,Sun Jul 12 2020,12:30,Ümraniyespor,,,Adana Demirspor,
33,Sun Jul 12 2020,12:30,Balıkesirspor,,,Eskişehirspor,
33,Sun Jul 12 2020,12:30,Boluspor,,,Akhisar Belediyespor,
33,Sun Jul 12 2020,12:30,Bursaspor,,,Menemen Belediyespor,
33,Sun Jul 12 2020,12:30,Istanbulspor,,,Osmanlıspor FK,
33,Sun Jul 12 2020,12:30,Keçiörengücü,,,Fatih Karagümrük SK,
33,Sun Jul 12 2020,12:30,Adanaspor,,,Hatayspor,
34,Sun Jul 19 2020,,Adana Demirspor,,,Istanbulspor,
34,Sun Jul 19 2020,,Akhisar Belediyespor,,,Keçiörengücü,
34,Sun Jul 19 2020,,BB Erzurumspor,,,Ümraniyespor,
34,Sun Jul 19 2020,,Eskişehirspor,,,Boluspor,
34,Sun Jul 19 2020,,Giresunspor,,,Altay Izmir,
34,Sun Jul 19 2020,,Hatayspor,,,Bursaspor,
34,Sun Jul 19 2020,,Fatih Karagümrük SK,,,Adanaspor,
34,Sun Jul 19 2020,,Menemen Belediyespor,,,Altınordu FSG,
34,Sun Jul 19 2020,,Osmanlıspor FK,,,Balıkesirspor,
