Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Feb 27 2021,19:00,-0300,Caldense MG,1-1,0-0,Tombense MG,,2021-02-27T22:00Z
,1,Sat Feb 27 2021,19:00,-0300,América MG,1-0,0-0,Boa Esporte MG,,2021-02-27T22:00Z
,1,Sat Feb 27 2021,16:30,-0300,Uberlândia MG,1-1,1-0,Cruzeiro,,2021-02-27T19:30Z
,1,Sun Feb 28 2021,16:00,-0300,Atlético Patrocinense MG,0-2,0-0,Athletic MG,,2021-02-28T19:00Z
,1,Sun Feb 28 2021,18:15,-0300,Atlético Mineiro,3-0,1-0,U.R.T. MG,,2021-02-28T21:15Z
,1,Sun Feb 28 2021,15:30,-0300,Pouso Alegre MG,0-0,0-0,Coimbra MG,,2021-02-28T18:30Z
,2,Wed Mar 3 2021,19:00,-0300,Boa Esporte MG,0-0,0-0,Pouso Alegre MG,,2021-03-03T22:00Z
,2,Wed Mar 3 2021,19:00,-0300,Coimbra MG,0-1,0-1,Atlético Patrocinense MG,,2021-03-03T22:00Z
,2,Wed Mar 3 2021,19:15,-0300,Athletic MG,0-1,0-0,América MG,,2021-03-03T22:15Z
,2,Wed Mar 3 2021,20:00,-0300,U.R.T. MG,1-0,1-0,Uberlândia MG,,2021-03-03T23:00Z
,2,Wed Mar 3 2021,21:30,-0300,Cruzeiro,0-1,0-1,Caldense MG,,2021-03-04T00:30Z
,2,Thu Mar 4 2021,21:00,-0300,Tombense MG,1-2,1-1,Atlético Mineiro,,2021-03-05T00:00Z
,3,Sat Mar 6 2021,19:00,-0300,Pouso Alegre MG,1-2,1-1,América MG,,2021-03-06T22:00Z
,3,Sat Mar 6 2021,21:00,-0300,U.R.T. MG,0-2,0-0,Cruzeiro,,2021-03-07T00:00Z
,3,Sat Mar 6 2021,19:00,-0300,Caldense MG,0-0,0-0,Atlético Patrocinense MG,,2021-03-06T22:00Z
,3,Sun Mar 7 2021,15:00,-0300,Athletic MG,1-0,1-0,Boa Esporte MG,,2021-03-07T18:00Z
,3,Sun Mar 7 2021,20:30,-0300,Atlético Mineiro,4-0,1-0,Uberlândia MG,,2021-03-07T23:30Z
,3,Sun Mar 7 2021,10:00,-0300,Coimbra MG,0-0,0-0,Tombense MG,,2021-03-07T13:00Z
,4,Fri Mar 12 2021,19:00,-0300,Boa Esporte MG,2-1,1-1,Coimbra MG,,2021-03-12T22:00Z
,4,Sat Mar 13 2021,16:30,-0300,Atlético Patrocinense MG,1-3,0-1,Atlético Mineiro,,2021-03-13T19:30Z
,4,Sat Mar 13 2021,21:00,-0300,América MG,0-1,0-1,Caldense MG,,2021-03-14T00:00Z
,4,Sat Mar 13 2021,16:00,-0300,Tombense MG,1-0,1-0,U.R.T. MG,,2021-03-13T19:00Z
,4,Sun Mar 14 2021,16:00,-0300,Cruzeiro,1-0,0-0,Athletic MG,,2021-03-14T19:00Z
,4,Mon Mar 15 2021,16:00,-0300,Uberlândia MG,1-3,1-1,Pouso Alegre MG,,2021-03-15T19:00Z
,5,Thu Mar 18 2021,15:30,-0300,Boa Esporte MG,1-2,0-0,Uberlândia MG,,2021-03-18T18:30Z
,5,Fri Mar 19 2021,17:30,-0300,Atlético Mineiro,3-0,3-0,Coimbra MG,,2021-03-19T20:30Z
,5,Sat Mar 20 2021,15:00,-0300,Athletic MG,2-1,1-0,Pouso Alegre MG,,2021-03-20T18:00Z
,5,Sun Mar 21 2021,16:00,-0300,U.R.T. MG,3-1,1-0,Caldense MG,,2021-03-21T19:00Z
,5,Sun Mar 21 2021,16:00,-0300,América MG,1-0,1-0,Cruzeiro,,2021-03-21T19:00Z
,5,Sun Mar 21 2021,17:00,-0300,Tombense MG,2-2,2-0,Atlético Patrocinense MG,,2021-03-21T20:00Z
,6,Thu Apr 1 2021,15:30,-0300,Pouso Alegre MG,3-0,1-0,U.R.T. MG,,2021-04-01T18:30Z
,6,Thu Apr 1 2021,16:00,-0300,Cruzeiro,0-0,0-0,Tombense MG,,2021-04-01T19:00Z
,6,Thu Apr 1 2021,16:00,-0300,Atlético Patrocinense MG,1-0,0-0,Boa Esporte MG,,2021-04-01T19:00Z
,6,Thu Apr 1 2021,17:30,-0300,Coimbra MG,1-0,0-0,Athletic MG,,2021-04-01T20:30Z
,6,Thu Apr 1 2021,17:30,-0300,Caldense MG,2-1,0-1,Atlético Mineiro,,2021-04-01T20:30Z
,6,Thu Apr 1 2021,11:00,-0300,Uberlândia MG,1-2,0-1,América MG,,2021-04-01T14:00Z
,7,Sun Apr 4 2021,11:00,-0300,Boa Esporte MG,0-1,0-1,Cruzeiro,,2021-04-04T14:00Z
,7,Sun Apr 4 2021,11:00,-0300,Uberlândia MG,1-0,1-0,Atlético Patrocinense MG,,2021-04-04T14:00Z
,7,Sun Apr 4 2021,15:30,-0300,Pouso Alegre MG,3-1,3-1,Caldense MG,,2021-04-04T18:30Z
,7,Sun Apr 4 2021,16:00,-0300,Tombense MG,2-1,0-1,Athletic MG,,2021-04-04T19:00Z
,7,Sun Apr 4 2021,16:00,-0300,Atlético Mineiro,3-1,1-0,América MG,,2021-04-04T19:00Z
,7,Sun Apr 4 2021,16:00,-0300,U.R.T. MG,1-0,1-0,Coimbra MG,,2021-04-04T19:00Z
,8,Wed Apr 7 2021,16:00,-0300,Atlético Mineiro,1-0,1-0,Pouso Alegre MG,,2021-04-07T19:00Z
,8,Wed Apr 7 2021,16:00,-0300,Caldense MG,1-2,1-2,Uberlândia MG,,2021-04-07T19:00Z
,8,Wed Apr 7 2021,17:30,-0300,Coimbra MG,0-2,0-0,Cruzeiro,,2021-04-07T20:30Z
,8,Wed Apr 7 2021,15:00,-0300,Athletic MG,0-1,0-0,U.R.T. MG,,2021-04-07T18:00Z
,8,Thu Apr 8 2021,17:30,-0300,América MG,1-1,1-1,Atlético Patrocinense MG,,2021-04-08T20:30Z
,9,Sun Apr 11 2021,18:15,-0300,Tombense MG,2-1,2-1,América MG,,2021-04-11T21:15Z
,9,Sun Apr 11 2021,10:00,-0300,Uberlândia MG,2-3,1-1,Athletic MG,,2021-04-11T13:00Z
,9,Sun Apr 11 2021,15:30,-0300,Atlético Patrocinense MG,1-1,0-0,Pouso Alegre MG,,2021-04-11T18:30Z
,9,Sun Apr 11 2021,16:00,-0300,Cruzeiro,1-0,0-0,Atlético Mineiro,,2021-04-11T19:00Z
,9,Sun Apr 11 2021,16:00,-0300,U.R.T. MG,1-1,0-0,Boa Esporte MG,,2021-04-11T19:00Z
,9,Sun Apr 11 2021,17:30,-0300,Coimbra MG,0-2,0-1,Caldense MG,,2021-04-11T20:30Z
,8,Wed Apr 14 2021,16:00,-0300,Boa Esporte MG,1-4,1-4,Tombense MG,,2021-04-14T19:00Z
,10,Sat Apr 17 2021,19:00,-0300,Caldense MG,0-0,0-0,Athletic MG,,2021-04-17T22:00Z
,10,Sat Apr 17 2021,17:30,-0300,América MG,2-0,1-0,Coimbra MG,,2021-04-17T20:30Z
,10,Sun Apr 18 2021,10:00,-0300,Uberlândia MG,1-1,0-1,Tombense MG,,2021-04-18T13:00Z
,10,Sun Apr 18 2021,11:00,-0300,Pouso Alegre MG,1-0,1-0,Cruzeiro,,2021-04-18T14:00Z
,10,Sun Apr 18 2021,16:00,-0300,Atlético Patrocinense MG,0-1,0-1,U.R.T. MG,,2021-04-18T19:00Z
,10,Sun Apr 18 2021,16:00,-0300,Atlético Mineiro,2-1,1-1,Boa Esporte MG,,2021-04-18T19:00Z
,11,Sat Apr 24 2021,19:00,-0300,Athletic MG,0-1,0-1,Atlético Mineiro,,2021-04-24T22:00Z
,11,Sun Apr 25 2021,16:00,-0300,Cruzeiro,4-0,1-0,Atlético Patrocinense MG,,2021-04-25T19:00Z
,11,Sun Apr 25 2021,16:00,-0300,U.R.T. MG,0-5,0-2,América MG,,2021-04-25T19:00Z
,11,Sun Apr 25 2021,16:00,-0300,Boa Esporte MG,2-0,1-0,Caldense MG,,2021-04-25T19:00Z
,11,Sun Apr 25 2021,16:00,-0300,Coimbra MG,2-2,1-0,Uberlândia MG,,2021-04-25T19:00Z
,11,Sun Apr 25 2021,16:00,-0300,Tombense MG,2-0,1-0,Pouso Alegre MG,,2021-04-25T19:00Z
Troféu Inconfidência,Semifinals,Sat May 1 2021,11:00,-0300,U.R.T. MG,1-1,1-1,Athletic MG,,2021-05-01T14:00Z
Troféu Inconfidência,Semifinals,Sat May 1 2021,15:00,-0300,Pouso Alegre MG,6-5,6-5,Caldense MG,6-5,2021-05-01T18:00Z
Fase final,Semifinals,Sat May 1 2021,16:30,-0300,Tombense MG,0-3,0-2,Atlético Mineiro,,2021-05-01T19:30Z
Fase final,Semifinals,Sun May 2 2021,16:00,-0300,Cruzeiro,1-2,1-0,América MG,,2021-05-02T19:00Z
Troféu Inconfidência,Final,Wed May 5 2021,19:00,-0300,U.R.T. MG,2-4,2-4,Pouso Alegre MG,0-0,2021-05-05T22:00Z
Fase final,Semifinals,Sat May 8 2021,16:30,-0300,Atlético Mineiro,1-1,1-0,Tombense MG,,2021-05-08T19:30Z
Fase final,Semifinals,Sun May 9 2021,16:00,-0300,América MG,3-1,3-1,Cruzeiro,,2021-05-09T19:00Z
Fase final,Final,Sun May 16 2021,16:00,-0300,América MG,0-0,0-0,Atlético Mineiro,,2021-05-16T19:00Z
Fase final,Final,Sat May 22 2021,16:30,-0300,Atlético Mineiro,0-0,0-0,América MG,,2021-05-22T19:30Z
